inst_id,inst_label,mode_str,EU_status,IU_status,EU_obj,IU_obj,EU_gap,IU_gap,EU_time_sec,IU_time_sec,abs_obj_diff
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC2x2_full_X,OPTIMAL,OPTIMAL,-11.355934485992027,-11.399402902705408,312.3772,313.9557,0.0061,0.0067,0.043468416713380975
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC2x2_full_XU,OPTIMAL,OPTIMAL,-11.355934439527983,-11.399402138860193,312.3772,313.9557,0.0069,0.0083,0.04346769933220962
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-11.348186677642039,-11.395661781770942,312.0959,313.8199,0.0064,0.0078,0.04747510412890321
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC_directional_XU,OPTIMAL,OPTIMAL,-11.348187482801835,-11.395661917736025,312.0959,313.8199,0.0143,0.0096,0.04747443493418935
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC_hybrid_X,OPTIMAL,OPTIMAL,-11.34818581361929,-11.395660160867738,312.0959,313.8198,0.0092,0.0147,0.04747434724844801
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,-11.348187406073805,-11.395660233019825,312.0959,313.8198,0.0128,0.0134,0.047472826946020064
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_PSD3x3_X,OPTIMAL,OPTIMAL,-11.34818763904276,-11.395663673158047,312.0959,313.82,0.0319,0.0318,0.047476034115288
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_PSD3x3_XU,OPTIMAL,OPTIMAL,-11.348188079165523,-11.395663510479007,312.0959,313.82,0.0296,0.0447,0.04747543131348486
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_blockSDP_X,OPTIMAL,OPTIMAL,-11.348187611937913,-11.395662144967371,312.0959,313.8199,0.0228,0.0257,0.047474533029458144
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_blockSDP_XU,OPTIMAL,OPTIMAL,-11.348187894764251,-11.37670886991237,312.0959,313.1316,0.0287,0.0297,0.02852097514811902
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_full_SDP,OPTIMAL,OPTIMAL,-5.404301218499523,-5.407446270836147,96.2508,96.365,0.0571,0.0519,0.003145052336623877
19,n20_rho5_B_LI3_LE2_CVX_seed109,RLT_SOC2x2_diag_U,OPTIMAL,OPTIMAL,-8.806868196442093,-8.80680401518804,195.544,195.5419,0.325,0.308,6.418125405183162e-5
19,n20_rho5_B_LI3_LE2_CVX_seed109,RLT_SOC2x2_diag_XU,OPTIMAL,OPTIMAL,-2.9796139538645114,-2.979708666135217,0.009,0.0059,0.19,0.2585,9.471227070534383e-5
19,n20_rho5_B_LI3_LE2_CVX_seed109,RLT_SOC2x2_full_X,OPTIMAL,OPTIMAL,-2.9798672036153064,-2.97987856009302,0.0006,0.0002,0.2507,0.2837,1.1356477713775348e-5
19,n20_rho5_B_LI3_LE2_CVX_seed109,RLT_SOC2x2_full_U,OPTIMAL,OPTIMAL,-8.806949084784549,-8.807082404688233,195.5467,195.5512,0.2955,0.2489,0.0001333199036839261
19,n20_rho5_B_LI3_LE2_CVX_seed109,RLT_SOC2x2_full_XU,OPTIMAL,OPTIMAL,-2.9798188923493,-2.9798638496170398,0.0022,0.0007,0.247,0.2645,4.49572677396759e-5
19,n20_rho5_B_LI3_LE2_CVX_seed109,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-2.979876428901779,-2.9798695125527708,0.0002,0.0005,0.2361,0.2768,6.916349008179168e-6
