inst_id,inst_label,n,rho,mode,EU_status,EU_obj,EU_gap,EU_time_sec,IU_status,IU_obj,IU_gap,IU_time_sec,exact_status,exact_obj,exact_time_sec
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_blockSDP_XU,OPTIMAL,-1.1791371629753449,0.0391,0.009,OPTIMAL,-1.1791370792003977,0.0391,0.0093,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_full_SDP,OPTIMAL,-1.178676481889207,0.0001,0.012,OPTIMAL,-1.1786757805152395,0.0,0.01,OPTIMAL,-1.1786757737820897,0.0063
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT,OPTIMAL,1827.432815228332,8.9215,0.0534,OPTIMAL,1827.4328152503788,8.9215,0.0485,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC2x2_diag_X,OPTIMAL,1952.8115037329,2.6727,0.0406,OPTIMAL,1952.811502195566,2.6727,0.0421,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC2x2_diag_U,OPTIMAL,1827.4328635115862,8.9215,0.04,OPTIMAL,1827.4329310901378,8.9215,0.0423,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC2x2_diag_XU,OPTIMAL,1952.8115042473687,2.6727,0.04,OPTIMAL,1952.8115088600039,2.6727,0.0397,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC2x2_full_X,OPTIMAL,2003.0016893775048,0.1712,0.0552,OPTIMAL,2003.0016917977878,0.1712,0.0558,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC2x2_full_U,OPTIMAL,1827.4328184049211,8.9215,0.0702,OPTIMAL,1827.432815933179,8.9215,0.0458,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC2x2_full_XU,OPTIMAL,2003.001703627459,0.1712,0.0632,OPTIMAL,2003.001686302446,0.1712,0.0598,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC_directional_X,OPTIMAL,2005.872835903917,0.0281,0.0659,OPTIMAL,2005.8728737611548,0.0281,0.0846,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC_directional_U,OPTIMAL,1827.4328203083237,8.9215,0.0474,OPTIMAL,1827.4328193566053,8.9215,0.0454,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC_directional_XU,OPTIMAL,2005.872785716977,0.0281,0.0814,OPTIMAL,2005.8728392857747,0.0281,0.0756,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC_hybrid_X,OPTIMAL,2005.9559911522128,0.024,0.0668,OPTIMAL,2005.9560078114805,0.024,0.0609,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC_hybrid_U,OPTIMAL,1827.4328156622992,8.9215,0.0554,OPTIMAL,1827.4328206397006,8.9215,0.0495,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_SOC_hybrid_XU,OPTIMAL,2005.9559833961919,0.024,0.0779,OPTIMAL,2005.9559931343601,0.024,0.0842,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_PSD3x3_X,OPTIMAL,2006.4373987500219,0.0,0.2522,OPTIMAL,2006.437474307274,0.0,0.2414,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_PSD3x3_U,OPTIMAL,1827.4328151571174,8.9215,0.1806,OPTIMAL,1827.4328147195301,8.9215,0.186,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_PSD3x3_XU,OPTIMAL,2006.4373525969868,0.0,0.2449,OPTIMAL,2006.4372953379363,0.0,0.2973,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_blockSDP_X,OPTIMAL,2006.4374815859492,0.0,0.1524,OPTIMAL,2006.4374836617171,0.0,0.1903,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_blockSDP_U,OPTIMAL,1827.432796318019,8.9215,0.1408,OPTIMAL,1827.4327495065604,8.9215,0.216,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_blockSDP_XU,OPTIMAL,2006.4374847639224,0.0,0.2031,OPTIMAL,2006.4374793150841,0.0,0.3411,OPTIMAL,2006.4374846700841,0.0166
4,n15_rho10_B_LI_LE_CVX_seed3,15,10.0,RLT_full_SDP,OPTIMAL,2006.4374848008365,0.0,1.0701,OPTIMAL,2006.4374846710243,0.0,0.9633,OPTIMAL,2006.4374846700841,0.0166
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT,OPTIMAL,-2037.5736864462503,31714.292,0.0037,OPTIMAL,-2037.5736828361682,31714.2919,0.0043,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC2x2_diag_X,OPTIMAL,-190.01007847472468,2866.7816,0.0055,OPTIMAL,-190.01007791786893,2866.7816,0.0038,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC2x2_diag_U,OPTIMAL,-2037.573666925019,31714.2917,0.0053,OPTIMAL,-2037.5736590094903,31714.2916,0.0035,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC2x2_diag_XU,OPTIMAL,-190.0100801031816,2866.7816,0.0044,OPTIMAL,-190.0100821781802,2866.7817,0.0039,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC2x2_full_X,OPTIMAL,-6.525418823566257,1.8867,0.0068,OPTIMAL,-6.525419268319235,1.8867,0.0046,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC2x2_full_U,OPTIMAL,-2037.5736586544897,31714.2916,0.0038,OPTIMAL,-2037.5736873203628,31714.292,0.0038,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC2x2_full_XU,OPTIMAL,-6.525418693459712,1.8867,0.0049,OPTIMAL,-6.525419274872229,1.8867,0.0055,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC_directional_X,OPTIMAL,-6.40458515331706,0.0,0.0044,OPTIMAL,-6.404585037510839,0.0,0.0045,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC_directional_U,OPTIMAL,-2037.5736871101017,31714.292,0.0042,OPTIMAL,-2037.5736861746632,31714.292,0.0038,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC_directional_XU,OPTIMAL,-6.4045850342123645,0.0,0.006,OPTIMAL,-6.404585267040639,0.0,0.0048,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC_hybrid_X,OPTIMAL,-6.404585109254819,0.0,0.0048,OPTIMAL,-6.404581433923626,0.0001,0.0047,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC_hybrid_U,OPTIMAL,-2037.573687704988,31714.292,0.004,OPTIMAL,-2037.573686713209,31714.292,0.005,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_SOC_hybrid_XU,OPTIMAL,-6.404584229995037,0.0,0.0057,OPTIMAL,-6.404578126185363,0.0001,0.0054,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_PSD3x3_X,OPTIMAL,-6.404586854448423,0.0,0.0107,OPTIMAL,-6.404591512008426,0.0001,0.013,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_PSD3x3_U,OPTIMAL,-2037.5736951574172,31714.2921,0.0118,OPTIMAL,-2037.5738195087388,31714.2941,0.0121,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_PSD3x3_XU,OPTIMAL,-6.4045863439123645,0.0,0.0135,OPTIMAL,-6.40458751921213,0.0,0.0162,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_blockSDP_X,OPTIMAL,-6.404586735756278,0.0,0.0114,OPTIMAL,-6.404592248202647,0.0001,0.011,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_blockSDP_U,OPTIMAL,-2037.5736881567564,31714.292,0.0102,OPTIMAL,-2037.5736886213983,31714.292,0.0111,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_blockSDP_XU,OPTIMAL,-6.404588169532882,0.0,0.011,OPTIMAL,-6.404588085213762,0.0,0.0129,OPTIMAL,-6.404585983363559,0.0063
5,n5_rho4_P_LI_CVX_seed4,5,4.0,RLT_full_SDP,OPTIMAL,-6.4045860462176085,0.0,0.0147,OPTIMAL,-6.404586068438405,0.0,0.0146,OPTIMAL,-6.404585983363559,0.0063
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT,OPTIMAL,-1334.141827872655,44.7454,0.0026,OPTIMAL,-1335.076486166022,44.8468,0.0044,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC2x2_diag_X,OPTIMAL,-1017.3956639883503,10.3806,0.0035,OPTIMAL,-1032.9491187355284,12.068,0.0032,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC2x2_diag_U,OPTIMAL,-1334.1418308353532,44.7454,0.0038,OPTIMAL,-1335.0764870466255,44.8468,0.0034,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC2x2_diag_XU,OPTIMAL,-1017.3956638689858,10.3806,0.0031,OPTIMAL,-1032.9491186256855,12.068,0.0051,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC2x2_full_X,OPTIMAL,-939.141117540423,1.8905,0.0033,OPTIMAL,-944.9167480572785,2.5171,0.0038,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC2x2_full_U,OPTIMAL,-1334.1418308350273,44.7454,0.0034,OPTIMAL,-1335.0764870475152,44.8468,0.0036,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC2x2_full_XU,OPTIMAL,-939.1411172721934,1.8905,0.0034,OPTIMAL,-944.9167480398376,2.5171,0.004,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC_directional_X,OPTIMAL,-921.7161030750075,0.0,0.0036,OPTIMAL,-921.7160979547928,0.0,0.0041,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC_directional_U,OPTIMAL,-1334.1418308342577,44.7454,0.0034,OPTIMAL,-1335.0764870465337,44.8468,0.0031,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC_directional_XU,OPTIMAL,-921.7161028986088,0.0,0.0042,OPTIMAL,-921.7160936007448,0.0,0.0045,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC_hybrid_X,OPTIMAL,-921.7161046859251,0.0,0.0034,OPTIMAL,-921.7160940402424,0.0,0.0341,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC_hybrid_U,OPTIMAL,-1334.1418308337813,44.7454,0.0041,OPTIMAL,-1335.0764870477933,44.8468,0.0035,OPTIMAL,-921.7161056209185,0.0215
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_SOC_hybrid_XU,OPTIMAL,-921.7161014382732,0.0,0.0043,OPTIMAL,-921.7160987061153,0.0,0.0048,OPTIMAL,-921.7161056209185,0.0215
